trick_number,trick_name,stance,part,caption_seconds,family,subfamily,modifiers,sibling_key,youtube_url
1,ollie,Regular,1,84,Ollie / Spins,None,,ollie,https://www.youtube.com/watch?v=8bxg4YCo2RE
2,fakie ollie,Fakie,1,86,Ollie / Spins,None,,ollie,https://www.youtube.com/watch?v=8bxg4YCo2RE
3,nollie,Nollie,1,89,Ollie / Spins,None,,ollie,https://www.youtube.com/watch?v=8bxg4YCo2RE
4,switch ollie,Switch,1,91,Ollie / Spins,None,,ollie,https://www.youtube.com/watch?v=8bxg4YCo2RE
5,frontside 180,Regular,1,93,Ollie / Spins,None,Frontside|180,frontside 180,https://www.youtube.com/watch?v=8bxg4YCo2RE
6,backside 180,Regular,1,96,Ollie / Spins,None,Backside|180,backside 180,https://www.youtube.com/watch?v=8bxg4YCo2RE
7,fakie backside 180,Fakie,1,98,Ollie / Spins,None,Backside|180,backside 180,https://www.youtube.com/watch?v=8bxg4YCo2RE
8,fakie frontside 180,Fakie,1,101,Ollie / Spins,None,Frontside|180,frontside 180,https://www.youtube.com/watch?v=8bxg4YCo2RE
9,nollie frontside 180,Nollie,1,103,Ollie / Spins,None,Frontside|180,frontside 180,https://www.youtube.com/watch?v=8bxg4YCo2RE
10,nollie backside 180,Nollie,1,106,Ollie / Spins,None,Backside|180,backside 180,https://www.youtube.com/watch?v=8bxg4YCo2RE
11,switch backside 180,Switch,1,108,Ollie / Spins,None,Backside|180,backside 180,https://www.youtube.com/watch?v=8bxg4YCo2RE
12,switch frontside 180,Switch,1,110,Ollie / Spins,None,Frontside|180,frontside 180,https://www.youtube.com/watch?v=8bxg4YCo2RE
13,kickflip,Regular,1,113,Kickflips,Kickflip,,kickflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
14,fakie kickflip,Fakie,1,115,Kickflips,Kickflip,,kickflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
15,switch kickflip,Switch,1,117,Kickflips,Kickflip,,kickflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
16,nollie kickflip,Nollie,1,119,Kickflips,Kickflip,,kickflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
17,heelflip,Regular,1,121,Heelflips,Heelflip,,heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
18,fakie heelflip,Fakie,1,124,Heelflips,Heelflip,,heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
19,switch heelflip,Switch,1,126,Heelflips,Heelflip,,heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
20,nollie heelflip,Nollie,1,129,Heelflips,Heelflip,,heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
21,frontside flip,Regular,1,131,Kickflips,Kickflip,Frontside,frontside flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
22,backside flip,Regular,1,134,Kickflips,Kickflip,Backside,backside flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
23,fakie backside flip,Fakie,1,136,Kickflips,Kickflip,Backside,backside flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
24,fakie backside heelflip,Fakie,1,139,Heelflips,Heelflip,Backside,backside heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
25,fakie frontside flip,Fakie,1,142,Kickflips,Kickflip,Frontside,frontside flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
26,backside heelflip,Regular,1,145,Heelflips,Heelflip,Backside,backside heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
27,frontside heelflip,Regular,1,148,Heelflips,Heelflip,Frontside,frontside heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
28,fakie frontside heelflip,Fakie,1,150,Heelflips,Heelflip,Frontside,frontside heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
29,nollie backside flip,Nollie,1,153,Kickflips,Kickflip,Backside,backside flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
30,switch frontside flip,Switch,1,156,Kickflips,Kickflip,Frontside,frontside flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
31,nollie frontside heelflip,Nollie,1,158,Heelflips,Heelflip,Frontside,frontside heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
